season,hero,wins,total_games,win_rate
Season 1,Knight,14925,29373,0.5081197017669288
Season 1,Musketeer,11312,22531,0.5020638231769562
Season 1,Giant,14669,29369,0.4994722326262386
Season 1,Mini PEKKA,23606,47450,0.49749209694415175
Season 2,Knight,16720,33517,0.4988513291762389
Season 2,Musketeer,5281,10522,0.501900779319521
Season 2,Giant,13928,27782,0.5013317975667698
Season 2,Mini PEKKA,18447,36752,0.501931867653461
Season 2,Wizard,2830,5553,0.5096344318386458
Season 2,Ice Golem,14651,28854,0.5077632217370208
Season 3,Knight,15508,30383,0.5104170095118981
Season 3,Musketeer,1843,3603,0.511518179295032
Season 3,Giant,4630,9413,0.491872941676405
Season 3,Mini PEKKA,4953,10168,0.4871164437450826
Season 3,Wizard,7143,14200,0.5030281690140845
Season 3,Ice Golem,4646,9168,0.506762652705061
Season 3,Goblins,29556,59011,0.5008557726525563
Season 3,Mega Minion,10227,20716,0.49367638540258735
Season 4,Knight,8637,17150,0.5036151603498542
Season 4,Musketeer,1938,3995,0.4851063829787234
Season 4,Giant,5465,10985,0.4974965862539827
Season 4,Mini PEKKA,2406,5002,0.48100759696121553
Season 4,Wizard,1602,3298,0.48574893875075803
Season 4,Ice Golem,3468,7041,0.4925436727737537
Season 4,Goblins,9288,18251,0.5089036217193579
Season 4,Mega Minion,10288,20258,0.5078487511106723
Season 4,Magic Archer,23146,45689,0.5065989625511611
Season 4,Barbarian Barrel,10225,20876,0.4897968959570799
Season 5,Knight,14635,29010,0.5044812133746984
Season 5,Musketeer,2040,4244,0.4806786050895382
Season 5,Giant,6576,13189,0.49859731594510576
Season 5,Mini PEKKA,2162,4465,0.4842105263157895
Season 5,Wizard,4198,8379,0.5010144408640649
Season 5,Ice Golem,4728,9388,0.5036216446527482
Season 5,Goblins,10810,21522,0.5022767400799182
Season 5,Mega Minion,8129,16345,0.49733863566840014
Season 5,Magic Archer,4066,8293,0.4902930182081273
Season 5,Barbarian Barrel,16618,33251,0.49977444287389855
Season 5,Balloon,9593,19043,0.5037546605051725
